"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US00601","ZCTA5 00601","17982","287",
"8600000US00602","ZCTA5 00602","40260","167",
"8600000US00603","ZCTA5 00603","52408","810",
"8600000US00606","ZCTA5 00606","6331","293",
"8600000US00610","ZCTA5 00610","28328","205",
"8600000US00612","ZCTA5 00612","64816","1468",
"8600000US00616","ZCTA5 00616","10707","1074",
"8600000US00617","ZCTA5 00617","24793","265",
"8600000US00622","ZCTA5 00622","7425","1037",
"8600000US00623","ZCTA5 00623","42955","1037",
"8600000US00624","ZCTA5 00624","24628","407",
"8600000US00627","ZCTA5 00627","33949","*****",
"8600000US00631","ZCTA5 00631","1664","297",
"8600000US00637","ZCTA5 00637","24398","144",
"8600000US00638","ZCTA5 00638","18084","260",
"8600000US00641","ZCTA5 00641","29516","429",
"8600000US00646","ZCTA5 00646","38396","188",
"8600000US00647","ZCTA5 00647","5740","733",
"8600000US00650","ZCTA5 00650","14738","544",
"8600000US00652","ZCTA5 00652","3800","707",
"8600000US00653","ZCTA5 00653","12514","730",
"8600000US00656","ZCTA5 00656","20414","44",
"8600000US00659","ZCTA5 00659","41578","*****",
"8600000US00660","ZCTA5 00660","16845","*****",
"8600000US00662","ZCTA5 00662","42499","523",
"8600000US00664","ZCTA5 00664","15974","102",
"8600000US00667","ZCTA5 00667","24968","179",
"8600000US00669","ZCTA5 00669","27703","235",
"8600000US00670","ZCTA5 00670","9333","160",
"8600000US00674","ZCTA5 00674","42358","225",
"8600000US00676","ZCTA5 00676","38999","131",
"8600000US00677","ZCTA5 00677","14855","23",
"8600000US00678","ZCTA5 00678","26815","474",
"8600000US00680","ZCTA5 00680","52431","1454",
"8600000US00682","ZCTA5 00682","32431","1447",
"8600000US00683","ZCTA5 00683","32569","430",
"8600000US00685","ZCTA5 00685","40800","415",
"8600000US00687","ZCTA5 00687","32294","*****",
"8600000US00688","ZCTA5 00688","12870","1028",
"8600000US00690","ZCTA5 00690","5565","810",
"8600000US00692","ZCTA5 00692","36777","650",
"8600000US00693","ZCTA5 00693","58615","659",
"8600000US00694","ZCTA5 00694","77","68",
"8600000US00698","ZCTA5 00698","39395","151",
"8600000US00703","ZCTA5 00703","28165","503",
"8600000US00704","ZCTA5 00704","8007","917",
"8600000US00705","ZCTA5 00705","24717","235",
"8600000US00707","ZCTA5 00707","11701","*****",
"8600000US00714","ZCTA5 00714","18988","48",
