"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US00601","ZCTA5 00601","18088","295",
"8600000US00602","ZCTA5 00602","40859","154",
"8600000US00603","ZCTA5 00603","53162","657",
"8600000US00606","ZCTA5 00606","6415","264",
"8600000US00610","ZCTA5 00610","28805","163",
"8600000US00612","ZCTA5 00612","66251","1289",
"8600000US00616","ZCTA5 00616","10466","906",
"8600000US00617","ZCTA5 00617","24917","134",
"8600000US00622","ZCTA5 00622","6589","1001",
"8600000US00623","ZCTA5 00623","44117","1001",
"8600000US00624","ZCTA5 00624","24902","374",
"8600000US00627","ZCTA5 00627","34438","*****",
"8600000US00631","ZCTA5 00631","1847","375",
"8600000US00637","ZCTA5 00637","24799","124",
"8600000US00638","ZCTA5 00638","18365","241",
"8600000US00641","ZCTA5 00641","30183","411",
"8600000US00646","ZCTA5 00646","38305","*****",
"8600000US00647","ZCTA5 00647","5245","665",
"8600000US00650","ZCTA5 00650","14679","433",
"8600000US00652","ZCTA5 00652","3831","678",
"8600000US00653","ZCTA5 00653","13427","669",
"8600000US00656","ZCTA5 00656","20839","34",
"8600000US00659","ZCTA5 00659","41830","*****",
"8600000US00660","ZCTA5 00660","17023","*****",
"8600000US00662","ZCTA5 00662","43101","486",
"8600000US00664","ZCTA5 00664","16298","115",
"8600000US00667","ZCTA5 00667","25510","203",
"8600000US00669","ZCTA5 00669","28442","357",
"8600000US00670","ZCTA5 00670","9478","93",
"8600000US00674","ZCTA5 00674","43240","310",
"8600000US00676","ZCTA5 00676","39513","106",
"8600000US00677","ZCTA5 00677","15012","23",
"8600000US00678","ZCTA5 00678","27045","474",
"8600000US00680","ZCTA5 00680","54824","1600",
"8600000US00682","ZCTA5 00682","31908","1541",
"8600000US00683","ZCTA5 00683","33050","401",
"8600000US00685","ZCTA5 00685","41403","462",
"8600000US00687","ZCTA5 00687","32484","*****",
"8600000US00688","ZCTA5 00688","13251","1032",
"8600000US00690","ZCTA5 00690","5906","657",
"8600000US00692","ZCTA5 00692","37329","568",
"8600000US00693","ZCTA5 00693","59513","651",
"8600000US00694","ZCTA5 00694","134","95",
"8600000US00698","ZCTA5 00698","40276","131",
"8600000US00703","ZCTA5 00703","28739","503",
"8600000US00704","ZCTA5 00704","8100","1001",
"8600000US00705","ZCTA5 00705","25090","213",
"8600000US00707","ZCTA5 00707","11904","*****",
"8600000US00714","ZCTA5 00714","19229","40",
"8600000US00715","ZCTA5 00715","3714","708",
"8600000US00716","ZCTA5 00716","31362","1524",
"8600000US00717","ZCTA5 00717","18176","893",
"8600000US00718","ZCTA5 00718","26786","102",
"8600000US00719","ZCTA5 00719","30772","392",
"8600000US00720","ZCTA5 00720","22862","229",
"8600000US00723","ZCTA5 00723","18766","*****",
"8600000US00725","ZCTA5 00725","88152","1813",
"8600000US00727","ZCTA5 00727","57036","1626",
"8600000US00728","ZCTA5 00728","42333","1810",
"8600000US00729","ZCTA5 00729","54198","744",
"8600000US00730","ZCTA5 00730","36201","1498",
"8600000US00731","ZCTA5 00731","14320","1142",
"8600000US00735","ZCTA5 00735","13203","107",
